Producto,Precio Descuento,Precio Internet,Precio Anterior
"Notebook Gamer Nitro Intel Core i7-12450H 16GB RAM 512GB SSD NVIDIA GeForce RTX 4060 15.6""",$ 1.049.990,$ 1.129.990,$ 1.499.990
"All In One AIO A3402 A3402WBAK-WA718W 23.8"" Intel Core I5 16GB 512GB",$ 699.990,$ 719.990,$ 999.990
"Notebook TUF Gaming A15 FA506 15.6"" AMD RYZEN R7 16GB RAM 512GB SSD NVIDIA GeForce RTX 3050",$ 879.990,$ 899.990,$ 1.089.990
Notebook ThinkPad X1 Carbon 12va Gen Intel Core Ultra 7 32GB RAM 1TB SSD 14 WUXGA W11 Pro,no encontrado,$ 2.499.990,no encontrado
Mac Mini M4 10C 16GB 256GB,$ 729.990,$ 749.990,$ 809.990
"MacBook Pro (14,2"", M4 (10n CPU, 10n GPU), 16GB RAM, 512GB SSD)",$ 1.979.990,$ 1.999.990,$ 2.189.990
Kit Standardv4,no encontrado,no encontrado,no encontrado
"Notebook Gamer ROG Strix SCAR 18"" G834 Intel Core i9 24 Nucleos NVIDIA GeForce RTX 4090 64GB RAM 2TB SSD 240Hz",$ 4.199.990,$ 4.219.990,$ 4.839.990
"Tablet M9 4GB-128GB 9"" IPS (Wi-Fi) + Folio Case",$ 139.990,$ 159.990,$ 169.990
Notebook ThinkPad E16 G2 U7-155u 16Gb 512Gb Win11P 16´´,no encontrado,$ 1.560.900,no encontrado
Multifuncional L5590,no encontrado,$ 349.990,no encontrado
Tablet Redmi Pad Se 4Gb+128Gb + Cover,$ 169.990,$ 189.990,$ 209.990
Tablet M11 8GB+128GB WiFi y Teclado & Estuche-Negro,$ 189.990,$ 209.990,$ 259.990
Galaxy Tab S6 Lite 2024 Gray 128GB + Book Cover,no encontrado,$ 429.990,no encontrado
Notebook Pavilion x360 14-ek0009la Intel Core i5 8GB RAM 512GB SSD,no encontrado,$ 831.450,no encontrado
Notebook 15-eg2503la Intel Core i5 16GB RAM 512GB SSD,no encontrado,$ 889.990,no encontrado
"Notebook Ideapad Slim 3 AMD Ryzen 3 7320U 8GB 512GB SSD 15,6"" FHD",$ 399.990,$ 419.990,$ 529.990
"Notebook Gamer Aspire 5 Laptop A515-58GM-56XX-1 15.6"" Intel Core I5 32GB Ram 512GB SSD RTX 2050",no encontrado,$ 1.069.990,no encontrado
"Notebook 14-EP1000LA Intel Core Ultra 5 16GB RAM DDR5 512GB SSD 14"" FHD Webcam HD Wi-Fi 6",$ 719.990,$ 739.990,$ 839.990
"Notebook 348 G7 i3 8GB SSD 256GB 14"" W10 Pro.",no encontrado,$ 569.990,no encontrado
Notebook Gamer LOQ AMD Ryzen 7 7435HS 16RAM 512GB SSD GeForce RTX 4070,$ 1.229.990,$ 1.299.990,$ 1.649.990
"IPad 10.2"" 9a Generación (Wi-Fi, 64GB)",no encontrado,$ 449.990,no encontrado
Galaxy Tab A9 64gb Gris,no encontrado,no encontrado,no encontrado
"Notebook Ideapad 3 Ryzen 5 7520U 8GB RAM 512GB SSD 15.6"" Full HD",$ 489.990,$ 499.990,$ 569.990
Impresoras Multifunción G-3170 Wifi Negra,$ 164.990,$ 169.990,$ 199.990
Impresora Multifuncional Inyección a color DPT530DW Negro,no encontrado,no encontrado,no encontrado
Notebook Gamer 15-fa1010la I5 8GB RAM 512GB SSD RTX2050 4GB,no encontrado,$ 1.069.990,no encontrado
Pad 2024 6GB+128GB WiFi 11” Gris con Teclado rosado,$ 189.990,$ 204.990,$ 324.990
Notebook Gamer 16-xf0005la R9 32GB 1TB RTX4070 8GB,no encontrado,$ 2.819.990,no encontrado
"IPad Pro 11"" (Wi-Fi, chip M4, 512GB, vidrio estándar)",$ 1.499.990,$ 1.519.990,$ 1.699.990
Multifuncional G-4110 E,no encontrado,$ 209.990,no encontrado
"Computador Todo en Uno 24-CB1023LA Intel Core i3 8GB RAM 512GB SSD 23.8"" FHD + Teclado y Mouse",$ 529.990,$ 549.990,$ 709.990
Notebook Rog Strix G16 Qhd 2.5K 240hz I9 14900hx 24 CORES SSD 1TB 32GB DDR5 NVIDIA Rtx 4070 8GB,no encontrado,no encontrado,no encontrado
Impresora Multifuncional Smart Tank 790 Tanque de Tinta Color Wi-Fi ADF Duplex Ethernet Pantalla Táctil,no encontrado,$ 374.990,no encontrado
MacBook Air 13.3 Chip M1 8GB RAM 256GB - Plata,$ 729.990,$ 819.990,$ 1.089.990
